"id_zone";"INSEE_C";"LIBGEO";"EPCI";"DEP";"REG";"loypredm2";"lwr.IPm2";"upr.IPm2";"TYPPRED";"nbobs_com";"nbobs_mail";"R2_adj"
"1";"67462";"Sélestat";"246700967";"67";"44";10,2495505031762;8,08630416530593;12,9915080325433;"commune";188;580;0,738775136244937
"1";"67461";"Schwobsheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";2;580;0,738775136244937
"1";"67360";"Ohnenheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";10;580;0,738775136244937
"1";"67239";"Kintzheim";"246700967";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";32;580;0,738775136244937
"1";"67056";"Bootzheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";13;580;0,738775136244937
"1";"68113";"Guémar";"246800577";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";14;580;0,738775136244937
"1";"67453";"Schœnau";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";10;580;0,738775136244937
"1";"67187";"Heidolsheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";7;580;0,738775136244937
"1";"68146";"Houssen";"246800726";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";51;580;0,738775136244937
"1";"67121";"Elsenheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";15;580;0,738775136244937
"1";"68157";"Jebsheim";"246800726";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";26;580;0,738775136244937
"1";"67053";"Bœsenbiesen";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";0;580;0,738775136244937
"1";"67011";"Artolsheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";6;580;0,738775136244937
"1";"67281";"Marckolsheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";71;580;0,738775136244937
"1";"67310";"Mussig";"246700967";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";15;580;0,738775136244937
"1";"68019";"Baltzenheim";"200066025";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";5;580;0,738775136244937
"1";"68110";"Grussenheim";"200030526";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";7;580;0,738775136244937
"1";"67277";"Mackenheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";15;580;0,738775136244937
"1";"68296";"Saint-Hippolyte";"246800577";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";17;580;0,738775136244937
"1";"68009";"Artzenheim";"200066025";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";13;580;0,738775136244937
"1";"67195";"Hessenheim";"200030526";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";8;580;0,738775136244937
"1";"68028";"Bergheim";"246800577";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";26;580;0,738775136244937
"1";"67362";"Orschwiller";"246700967";"67";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";6;580;0,738775136244937
"1";"68252";"Ostheim";"246800577";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";19;580;0,738775136244937
"1";"68335";"Thannenkirch";"246800577";"68";"44";9,80242068322335;7,73007909082588;12,4303322284144;"maille";4;580;0,738775136244937
"10";"18023";"Baugy";"241800374";"18";"24";7,40720725100357;5,88057826220991;9,3301571398016;"commune";126;495;0,751891306543186
"10";"18109";"Henrichemont";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";74;495;0,751891306543186
"10";"18162";"Neuilly-en-Sancerre";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";6;495;0,751891306543186
"10";"18019";"Azy";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";21;495;0,751891306543186
"10";"18111";"Humbligny";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";1;495;0,751891306543186
"10";"18116";"Jalognes";"200069227";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";2;495;0,751891306543186
"10";"18105";"Gron";"241800374";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";23;495;0,751891306543186
"10";"18249";"Sens-Beaujeu";"200069227";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";27;495;0,751891306543186
"10";"18194";"Rians";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";34;495;0,751891306543186
"10";"18132";"Lugny-Champagne";"200032514";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";8;495;0,751891306543186
"10";"18079";"Crézancy-en-Sancerre";"200069227";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";21;495;0,751891306543186
"10";"18003";"Les Aix-d'Angillon";"200066330";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";97;495;0,751891306543186
"10";"18272";"Veaugues";"200069227";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";26;495;0,751891306543186
"10";"18090";"Étréchy";"241800374";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";18;495;0,751891306543186
"10";"18251";"Sévry";"200032514";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";2;495;0,751891306543186
"10";"18098";"Gardefort";"200069227";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";1;495;0,751891306543186
"10";"18061";"Chaumoux-Marcilly";"241800374";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";3;495;0,751891306543186
"10";"18053";"Charentonnay";"200032514";"18";"24";6,37473926100031;5,05924464144573;8,03228614659881;"maille";5;495;0,751891306543186
"100";"50269";"Liesville-sur-Douve";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";3;536;0,665160469751399
"100";"50227";"Le Ham";"200067205";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";6;536;0,665160469751399
"100";"50571";"Sébeville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"100";"50387";"Orglandes";"200067205";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";16;536;0,665160469751399
"100";"50052";"Beuzeville-la-Bastille";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";2;536;0,665160469751399
"100";"50509";"Sainte-Marie-du-Mont";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";32;536;0,665160469751399
"100";"50488";"Saint-Jean-de-Daye";"200066389";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";37;536;0,665160469751399
"100";"50523";"Sainte-Mère-Église";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";85;536;0,665160469751399
"100";"50021";"Audouville-la-Hubert";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";1;536;0,665160469751399
"100";"50016";"Appeville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";9;536;0,665160469751399
"100";"50298";"Méautis";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";17;536;0,665160469751399
"100";"50177";"Étienville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";4;536;0,665160469751399
"100";"50373";"Neuville-au-Plain";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"100";"50194";"Fresville";"200067205";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";10;536;0,665160469751399
"100";"50609";"Turqueville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"100";"50099";"Carentan-les-Marais";"200042729";"50";"28";7,25959930057389;5,6392568037574;9,34551907084247;"commune";278;536;0,665160469751399
"100";"50324";"Le Mesnil-Véneron";"200066389";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"100";"50070";"Boutteville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";3;536;0,665160469751399
"100";"50246";"Hiesville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";4;536;0,665160469751399
"100";"50517";"Saint-Martin-de-Varreville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";3;536;0,665160469751399
"100";"50169";"Écausseville";"200067205";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"100";"50059";"Blosville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";26;536;0,665160469751399
"100";"50479";"Saint-Germain-de-Varreville";"200042729";"50";"28";6,7109420399584;5,23164658739596;8,60852167885022;"maille";0;536;0,665160469751399
"1000";"60552";"Rouville";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";1;568;0,826002642029569
"1000";"60527";"Réez-Fosse-Martin";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";7;568;0,826002642029569
"1000";"60279";"Gondreville";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";9;568;0,826002642029569
"1000";"77023";"Barcy";"200072130";"77";"11";10,7509930750623;8,96498343156616;12,8928126841888;"maille";15;568;0,826002642029569
"1000";"77193";"Forfry";"200072130";"77";"11";10,7509930750623;8,96498343156616;12,8928126841888;"maille";15;568;0,826002642029569
"1000";"60683";"Villers-Saint-Genest";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";10;568;0,826002642029569
"1000";"60489";"Péroy-les-Gombries";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";33;568;0,826002642029569
"1000";"60446";"Nanteuil-le-Haudouin";"246000871";"60";"32";11,1997512127649;9,33265672913504;13,4403772546614;"commune";151;568;0,826002642029569
"1000";"77476";"Trocy-en-Multien";"247700065";"77";"11";10,7509930750623;8,96498343156616;12,8928126841888;"maille";21;568;0,826002642029569
"1000";"77344";"Oissery";"200033090";"77";"11";10,7509930750623;8,96498343156616;12,8928126841888;"maille";28;568;0,826002642029569
"1000";"60478";"Ormoy-le-Davien";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";14;568;0,826002642029569
"1000";"60358";"Lévignen";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";16;568;0,826002642029569
"1000";"60148";"Chèvreville";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";6;568;0,826002642029569
"1000";"60079";"Boissy-Fresnoy";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";29;568;0,826002642029569
"1000";"60069";"Betz";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";42;568;0,826002642029569
"1000";"60092";"Boullarre";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";8;568;0,826002642029569
"1000";"60473";"Ognes";"246000871";"60";"32";10,7509930750623;8,96498343156616;12,8928126841888;"maille";2;568;0,826002642029569
"1000";"77173";"Étrépilly";"247700065";"77";"11";10,7509930750623;8,96498343156616;12,8928126841888;"maille";34;568;0,826002642029569
